GPIO,State,Tick,Diff,Time
21,0,2190629075,36341,17:27:19:293273
21,1,2190668160,39085,17:27:19:333119
21,0,2190704310,36150,17:27:19:368927
21,1,2190741140,36830,17:27:19:405748
21,0,2190777325,36185,17:27:19:441565
21,1,2190815830,38505,17:27:19:480337
21,0,2190851360,35530,17:27:19:516144
21,1,2190887635,36275,17:27:19:551961
21,0,2190922885,35250,17:27:19:587759
21,1,2190961390,38505,17:27:19:626518
21,0,2190997731,36341,17:27:19:662333
21,1,2191036256,38525,17:27:19:701118
21,0,2191074351,38095,17:27:19:738907
21,1,2191113896,39545,17:27:19:778648
21,0,2191149791,35895,17:27:19:814432
21,1,2191187666,37875,17:27:19:852213
21,0,2191225186,37520,17:27:19:890254
21,1,2191263986,38800,17:27:19:928915
21,0,2191300671,36685,17:27:19:965611
21,1,2191339226,38555,17:27:20:004329
21,0,2191376697,37471,17:27:20:041004
21,1,2191416261,39564,17:27:20:080722
21,0,2191452732,36471,17:27:20:117399
21,1,2191490412,37680,17:27:20:155103
21,0,2191527377,36965,17:27:20:191809
21,1,2191566842,39465,17:27:20:231501
21,0,2191603717,36875,17:27:20:268149
21,1,2191642762,39045,17:27:20:307902
21,0,2191680777,38015,17:27:20:345609
21,1,2191720727,39950,17:27:20:385367
21,0,2191757532,36805,17:27:20:422224
21,1,2191796823,39291,17:27:20:461724
21,0,2191835733,38910,17:27:20:500113
21,1,2191877008,41275,17:27:20:541590
21,0,2191915518,38510,17:27:20:580063
21,1,2191955583,40065,17:27:20:620714
21,0,2191995098,39515,17:27:20:660398
21,1,2192036583,41485,17:27:20:701097
21,0,2192074553,37970,17:27:20:739752
21,1,2192115038,40485,17:27:20:779426
21,0,2192154838,39800,17:27:20:820118
21,1,2192197503,42665,17:27:20:862808
21,0,2192236839,39336,17:27:20:901506
21,1,2192276884,40045,17:27:20:942165
21,0,2192316014,39130,17:27:20:980830
21,1,2192358269,42255,17:27:21:023595
21,0,2192398494,40225,17:27:21:063275
21,1,2192439444,40950,17:27:21:103987
21,0,2192478309,38865,17:27:21:142678
21,1,2192517479,39170,17:27:21:182365
21,0,2192554585,37106,17:27:21:219040
21,1,2192594469,39884,17:27:21:259741
21,0,2192634265,39796,17:27:21:299458
21,1,2192675755,41490,17:27:21:340125
21,0,2192715145,39390,17:27:21:379802
21,1,2192757645,42500,17:27:21:422530
21,0,2192798560,40915,17:27:21:463265
21,1,2192840775,42215,17:27:21:506012
21,0,2192879930,39155,17:27:21:544701
21,1,2192921080,41150,17:27:21:585401
21,0,2192962390,41310,17:27:21:627129
21,1,2193005261,42871,17:27:21:669829
21,0,2193045021,39760,17:27:21:709518
21,1,2193086116,41095,17:27:21:751251
21,0,2193125751,39635,17:27:21:790942
21,1,2193166841,41090,17:27:21:831699
21,0,2193205881,39040,17:27:21:870376
21,1,2193247041,41160,17:27:21:912089
21,0,2193288176,41135,17:27:21:952826
21,1,2193331621,43445,17:27:21:996530
21,0,2193370351,38730,17:27:22:035220
21,1,2193411197,40846,17:27:22:075993
21,0,2193450297,39100,17:27:22:114772
21,1,2193491767,41470,17:27:22:156485
21,0,2193531337,39570,17:27:22:196198
21,1,2193573397,42060,17:27:22:237936
21,0,2193613847,40450,17:27:22:278637
21,1,2193655167,41320,17:27:22:320341
21,0,2193694457,39290,17:27:22:359022
21,1,2193735403,40946,17:27:22:400742
21,0,2193775143,39740,17:27:22:440461
21,1,2193817418,42275,17:27:22:482142
21,0,2193857243,39825,17:27:22:521906
21,1,2193898763,41520,17:27:22:563578
21,0,2193940543,41780,17:27:22:605321
21,1,2193985353,44810,17:27:22:650032
21,0,2194025853,40500,17:27:22:691397
21,1,2194068428,42575,17:27:22:733318
21,0,2194109848,41420,17:27:22:775106
21,1,2194152979,43131,17:27:22:817917
21,0,2194193593,40614,17:27:22:858627
21,1,2194236699,43106,17:27:22:901341
21,0,2194277289,40590,17:27:22:942074
21,1,2194319754,42465,17:27:22:984819
21,0,2194359854,40100,17:27:23:024540
21,1,2194401714,41860,17:27:23:066228
21,0,2194442919,41205,17:27:23:108008
21,1,2194487249,44330,17:27:23:151751
21,0,2194528899,41650,17:27:23:193483
21,1,2194573175,44276,17:27:23:238235
21,0,2194616605,43430,17:27:23:281973
21,1,2194662275,45670,17:27:23:326763
21,0,2194704000,41725,17:27:23:368511
21,1,2194746691,42691,17:27:23:411268
21,0,2194789385,42694,17:27:23:453996
21,1,2194834535,45150,17:27:23:499743
21,0,2194875705,41170,17:27:23:540447
21,1,2194918671,42966,17:27:23:583180
21,0,2194961771,43100,17:27:23:626999
21,1,2195007616,45845,17:27:23:672755
21,0,2195050731,43115,17:27:23:715493
21,1,2195094431,43700,17:27:23:759213
21,0,2195137916,43485,17:27:23:802948
21,1,2195184181,46265,17:27:23:848737
21,0,2195227861,43680,17:27:23:892415
21,1,2195274652,46791,17:27:23:939208
21,0,2195320597,45945,17:27:23:985984
21,1,2195367446,46849,17:27:24:032767
21,0,2195409237,41791,17:27:24:074505
21,1,2195452317,43080,17:27:24:117224
21,0,2195494942,42625,17:27:24:160022
21,1,2195540257,45315,17:27:24:204778
21,0,2195584407,44150,17:27:24:249526
21,1,2195630422,46015,17:27:24:295317
21,0,2195674762,44340,17:27:24:340078
21,1,2195719858,45096,17:27:24:384825
21,0,2195760342,40484,17:27:24:425544
21,1,2195802648,42306,17:27:24:467236
21,0,2195843918,41270,17:27:24:508929
21,1,2195887558,43640,17:27:24:552666
21,0,2195928388,40830,17:27:24:593359
21,1,2195967898,39510,17:27:24:633017
21,0,2196004983,37085,17:27:24:669681
21,1,2196043953,38970,17:27:24:709324
21,0,2196081148,37195,17:27:24:746007
21,1,2196121883,40735,17:27:24:786706
21,0,2196163314,41431,17:27:24:828432
21,1,2196206749,43435,17:27:24:872143
21,0,2196247819,41070,17:27:24:912856
21,1,2196291189,43370,17:27:24:955802
21,0,2196333929,42740,17:27:24:998477
21,1,2196378654,44725,17:27:25:043252
21,0,2196419244,40590,17:27:25:083962
21,1,2196461389,42145,17:27:25:126717
21,0,2196503619,42230,17:27:25:168401
8,0,2196536254,278375,17:27:25:201096
21,1,2196548999,45380,17:27:25:214492
21,0,2196590690,41691,17:27:25:255282
21,1,2196633140,42450,17:27:25:298017
21,0,2196675290,42150,17:27:25:340765
21,1,2196721360,46070,17:27:25:386496
21,0,2196763400,42040,17:27:25:428184
21,1,2196807100,43700,17:27:25:471918
8,1,2196815970,279716,17:27:25:481048
21,0,2196848190,41090,17:27:25:512666
21,1,2196890546,42356,17:27:25:555408
21,0,2196930281,39735,17:27:25:595099
21,1,2196971781,41500,17:27:25:636843
21,0,2197012431,40650,17:27:25:677513
8,0,2197043291,227321,17:27:25:708128
21,1,2197056581,44150,17:27:25:721551
21,0,2197098581,42000,17:27:25:763410
21,1,2197142241,43660,17:27:25:807168
21,0,2197183216,40975,17:27:25:847928
21,1,2197226011,42795,17:27:25:890635
21,0,2197266576,40565,17:27:25:931349
21,1,2197308322,41746,17:27:25:973079
21,0,2197349107,40785,17:27:26:013798
21,1,2197392877,43770,17:27:26:057568
21,0,2197434107,41230,17:27:26:099384
21,1,2197476682,42575,17:27:26:142185
21,0,2197519477,42795,17:27:26:184953
21,1,2197565597,46120,17:27:26:230725
21,0,2197608702,43105,17:27:26:273424
21,1,2197654187,45485,17:27:26:319183
21,0,2197699452,45265,17:27:26:363975
21,1,2197746402,46950,17:27:26:411743
21,0,2197788078,41676,17:27:26:453488
21,1,2197831793,43715,17:27:26:497215
21,0,2197874503,42710,17:27:26:539954
21,1,2197917873,43370,17:27:26:582679
21,0,2197958298,40425,17:27:26:623376
21,1,2198001283,42985,17:27:26:666107
21,0,2198043768,42485,17:27:26:708803
21,1,2198088859,45091,17:27:26:753577
21,0,2198130819,41960,17:27:26:796286
21,1,2198174964,44145,17:27:26:840056
21,0,2198218904,43940,17:27:26:883774
21,1,2198263644,44740,17:27:26:928477
21,0,2198305169,41525,17:27:26:970220
8,1,2198335339,1292048,17:27:27:000844
21,1,2198348389,43220,17:27:27:013243
21,0,2198390389,42000,17:27:27:054990
21,1,2198435454,45065,17:27:27:100715
21,0,2198477769,42315,17:27:27:142411
21,1,2198521124,43355,17:27:27:186148
21,0,2198564230,43106,17:27:27:228885
21,1,2198610680,46450,17:27:27:275662
8,0,2198613720,278381,17:27:27:278961
