GPIO,State,Tick,Diff,Time
8,0,2885810827,278380,09:11:40:189996
8,1,2886090538,279711,09:11:40:470107
8,0,2886317859,227321,09:11:40:698076
8,1,2890474189,4156330,09:11:44:853506
8,0,2890512629,38440,09:11:44:892300
8,1,2890551129,38500,09:11:44:930939
8,0,2890589699,38570,09:11:44:969600
8,1,2890628125,38426,09:11:45:008211
8,0,2890664400,36275,09:11:45:043840
8,1,2890701285,36885,09:11:45:080465
8,0,2890739505,38220,09:11:45:119107
8,1,2890778065,38560,09:11:45:157767
8,0,2890816630,38565,09:11:45:196388
8,1,2890851275,34645,09:11:45:230971
8,0,2890889825,38550,09:11:45:269622
8,1,2890928595,38770,09:11:45:308271
8,0,2890963505,34910,09:11:45:342888
8,1,2891001415,37910,09:11:45:381511
8,0,2891037251,35836,09:11:45:417101
8,1,2891074231,36980,09:11:45:453714
8,0,2891113291,39060,09:11:45:493333
8,1,2891147211,33920,09:11:45:526904
8,0,2891182441,35230,09:11:45:562536
8,1,2891221011,38570,09:11:45:601161
8,0,2891256531,35520,09:11:45:635750
8,1,2891295276,38745,09:11:45:675406
8,0,2891331466,36190,09:11:45:710991
8,1,2891369396,37930,09:11:45:748725
8,0,2891407736,38340,09:11:45:787664
8,1,2891446451,38715,09:11:45:825584
8,0,2891484567,38116,09:11:45:864434
8,1,2891523077,38510,09:11:45:903064
8,0,2891557982,34905,09:11:45:937648
8,1,2891596497,38515,09:11:45:976299
8,0,2891634952,38455,09:11:46:014924
8,1,2891673267,38315,09:11:46:052569
8,0,2891711867,38600,09:11:46:091151
8,1,2891750382,38515,09:11:46:129764
8,0,2891788897,38515,09:11:46:168432
8,1,2891827468,38571,09:11:46:207102
8,0,2891865483,38015,09:11:46:244747
8,1,2891904238,38755,09:11:46:284404
8,0,2891940163,35925,09:11:46:319997
8,1,2891975493,35330,09:11:46:354726
8,0,2892009878,34385,09:11:46:389615
8,1,2892048968,39090,09:11:46:428528
8,0,2892086004,37036,09:11:46:465386
8,1,2892123758,37754,09:11:46:502969
8,0,2892162563,38805,09:11:46:542594
8,1,2892201133,38570,09:11:46:581237
8,0,2892239938,38805,09:11:46:619854
8,1,2892277469,37531,09:11:46:656584
8,0,2892316419,38950,09:11:46:695580
8,1,2892354174,37755,09:11:46:733493
8,0,2892389494,35320,09:11:46:769328
8,1,2892426929,37435,09:11:46:806959
8,0,2892463985,37056,09:11:46:843573
8,1,2892501459,37474,09:11:46:881222
8,0,2892539009,37550,09:11:46:918827
8,1,2892576859,37850,09:11:46:956543
8,0,2892615719,38860,09:11:46:995604
