GPIO,State,Tick,Diff,Time
21,0,2410661777,14165,17:57:02:086261
21,1,2410676932,15155,17:57:02:086409
21,0,2410691522,14590,17:57:02:093535
21,1,2410706702,15180,17:57:02:108524
21,0,2410720862,14160,17:57:02:122525
21,1,2410736002,15140,17:57:02:137501
21,0,2410750482,14480,17:57:02:152481
21,1,2410765752,15270,17:57:02:167464
21,0,2410779992,14240,17:57:02:181446
21,1,2410795107,15115,17:57:02:196427
21,0,2410809727,14620,17:57:02:211417
21,1,2410825022,15295,17:57:02:226400
21,0,2410839272,14250,17:57:02:241466
21,1,2410854472,15200,17:57:02:255606
21,0,2410869107,14635,17:57:02:270592
21,1,2410884477,15370,17:57:02:285603
21,0,2410898757,14280,17:57:02:300607
21,1,2410913877,15120,17:57:02:315599
21,0,2410928442,14565,17:57:02:329609
21,1,2410943647,15205,17:57:02:345574
21,0,2410957972,14325,17:57:02:359584
21,1,2410973227,15255,17:57:02:374582
21,0,2410988032,14805,17:57:02:389573
21,1,2411003618,15586,17:57:02:405562
21,0,2411018423,14805,17:57:02:420564
21,1,2411034433,16010,17:57:02:436543
21,0,2411050133,15700,17:57:02:451530
21,1,2411067328,17195,17:57:02:468493
21,0,2411084163,16835,17:57:02:485449
21,1,2411102853,18690,17:57:02:504385
21,0,2411122448,19595,17:57:02:524311
21,1,2411144438,21990,17:57:02:546205
21,0,2411167513,23075,17:57:02:569136
21,1,2411194283,26770,17:57:02:595989
21,0,2411223168,28885,17:57:02:624827
21,1,2411259038,35870,17:57:02:660736
21,0,2411302313,43275,17:57:02:704453
21,1,2411366058,63745,17:57:02:767407
21,0,2411426834,60776,17:57:02:828297
21,1,2411475499,48665,17:57:02:877081
21,0,2411518699,43200,17:57:02:920906
21,1,2411563324,44625,17:57:02:964640
21,0,2411606794,43470,17:57:03:008351
21,1,2411651039,44245,17:57:03:053113
21,0,2411691744,40705,17:57:03:093815
21,1,2411733264,41520,17:57:03:135563
21,0,2411773654,40390,17:57:03:175261
21,1,2411818264,44610,17:57:03:219969
21,0,2411865840,47576,17:57:03:267717
21,1,2411917000,51160,17:57:03:318471
21,0,2411964330,47330,17:57:03:366284
21,1,2412011360,47030,17:57:03:412982
21,0,2412054455,43095,17:57:03:456683
21,1,2412098895,44440,17:57:03:500413
21,0,2412141621,42726,17:57:03:543106
21,1,2412186305,44684,17:57:03:587808
21,0,2412227996,41691,17:57:03:629482
21,1,2412269571,41575,17:57:03:671228
21,0,2412311051,41480,17:57:03:712900
21,1,2412359456,48405,17:57:03:761629
