GPIO,State,Tick,Diff,Time
21,0,2347145796,33625,17:29:55:821922
21,1,2347180661,34865,17:29:55:850803
21,0,2347213811,33150,17:29:55:884600
21,1,2347248566,34755,17:29:55:919275
21,0,2347280201,31635,17:29:55:950970
21,1,2347312626,32425,17:29:55:982677
21,0,2347344561,31935,17:29:56:015369
21,1,2347378096,33535,17:29:56:048059
21,0,2347409281,31185,17:29:56:079758
21,1,2347441256,31975,17:29:56:111454
21,0,2347472771,31515,17:29:56:143178
21,1,2347505797,33026,17:29:56:175881
21,0,2347536247,30450,17:29:56:206616
21,1,2347567017,30770,17:29:56:237328
21,0,2347596622,29605,17:29:56:267032
21,1,2347628902,32280,17:29:56:299712
21,0,2347658787,29885,17:29:56:329435
21,1,2347689587,30800,17:29:56:360143
21,0,2347719752,30165,17:29:56:389846
8,0,2347745812,278376,17:29:56:416170
21,1,2347751732,31980,17:29:56:422281
21,0,2347781252,29520,17:29:56:451630
21,1,2347812447,31195,17:29:56:483027
21,0,2347842702,30255,17:29:56:513606
21,1,2347873993,31291,17:29:56:544187
21,0,2347903048,29055,17:29:56:573758
21,1,2347934463,31415,17:29:56:605361
21,0,2347965578,31115,17:29:56:635703
21,1,2347998083,32505,17:29:56:669105
8,1,2348025528,279716,17:29:56:696492
21,0,2348027243,29160,17:29:56:697560
21,1,2348057803,30560,17:29:56:728094
21,0,2348087738,29935,17:29:56:758828
21,1,2348118958,31220,17:29:56:789473
21,0,2348148173,29215,17:29:56:818978
21,1,2348178453,30280,17:29:56:849341
21,0,2348208359,29906,17:29:56:878695
21,1,2348239903,31544,17:29:56:910218
8,0,2348252843,227315,17:29:56:923499
21,0,2348269443,29540,17:29:56:939837
21,1,2348300084,30641,17:29:56:970438
21,0,2348330104,30020,17:29:57:001057
21,1,2348361489,31385,17:29:57:032434
21,0,2348391709,30220,17:29:57:061823
21,1,2348423324,31615,17:29:57:094164
21,0,2348454079,30755,17:29:57:124805
21,1,2348487059,32980,17:29:57:157382
21,0,2348518469,31410,17:29:57:188983
21,1,2348552179,33710,17:29:57:222533
21,0,2348585779,33600,17:29:57:255988
21,1,2348622019,36240,17:29:57:292383
21,0,2348656679,34660,17:29:57:327045
21,1,2348693420,36741,17:29:57:363740
21,0,2348729065,35645,17:29:57:399386
21,1,2348766745,37680,17:29:57:436900
21,0,2348801270,34525,17:29:57:472306
21,1,2348838105,36835,17:29:57:508869
21,0,2348874895,36790,17:29:57:545520
21,1,2348914130,39235,17:29:57:585231
21,0,2348950005,35875,17:29:57:620836
21,1,2348987550,37545,17:29:57:658241
21,0,2349023835,36285,17:29:57:694669
21,1,2349060195,36360,17:29:57:730360
21,0,2349094081,33886,17:29:57:764996
21,1,2349131276,37195,17:29:57:801636
21,0,2349167596,36320,17:29:57:838114
21,1,2349206366,38770,17:29:57:876541
21,0,2349242676,36310,17:29:57:913104
21,1,2349280521,37845,17:29:57:951180
21,0,2349317796,37275,17:29:57:988119
21,1,2349355836,38040,17:29:58:025994
21,0,2349390892,35056,17:29:58:061637
21,1,2349427367,36475,17:29:58:098391
21,0,2349463502,36135,17:29:58:134081
21,1,2349502102,38600,17:29:58:172740
21,0,2349538787,36685,17:29:58:209427
21,1,2349577067,38280,17:29:58:248110
21,0,2349615322,38255,17:29:58:285774
21,1,2349656062,40740,17:29:58:326468
21,0,2349694352,38290,17:29:58:365162
21,1,2349732617,38265,17:29:58:403791
21,0,2349769847,37230,17:29:58:440472
21,1,2349810172,40325,17:29:58:481132
21,0,2349847242,37070,17:29:58:517811
21,1,2349886993,39751,17:29:58:557651
21,0,2349926508,39515,17:29:58:597343
21,1,2349967373,40865,17:29:58:638764
21,0,2350004678,37305,17:29:58:675582
21,1,2350043868,39190,17:29:58:714357
21,0,2350081108,37240,17:29:58:752057
21,1,2350120293,39185,17:29:58:790726
21,0,2350156818,36525,17:29:58:827348
21,1,2350195468,38650,17:29:58:866011
21,0,2350234933,39465,17:29:58:905638
21,1,2350276534,41601,17:29:58:947350
21,0,2350315894,39360,17:29:58:987005
