temp_buffers,times_ms_buffers,Time
541.32446,272,10:52:35:015000
545.3172,1172,10:52:35:915000
546.6561,2072,10:52:36:815000
0.0,0,10:52:34:743000
551.40985,2972,10:52:37:715000
549.01984,3872,10:52:38:615000
533.93805,4772,10:52:39:515000
0.0,0,10:52:34:743000
538.29034,5672,10:52:40:415000
539.78284,6572,10:52:41:315000
546.48975,7472,10:52:42:215000
548.4922,8372,10:52:43:115000
544.4479,9272,10:52:44:015000
537.7262,10172,10:52:44:915000
546.5059,11072,10:52:45:815000
0.0,0,10:52:34:743000
532.8413,11972,10:52:46:715000
539.22974,12872,10:52:47:615000
544.1262,13772,10:52:48:515000
0.0,0,10:52:34:743000
544.91833,14672,10:52:49:415000
542.7775,15572,10:52:50:315000
544.8139,16472,10:52:51:215000
542.34515,17372,10:52:52:115000
536.445,18272,10:52:53:015000
545.88196,19172,10:52:53:915000
546.1303,20072,10:52:54:815000
0.0,0,10:52:34:743000
546.99115,20972,10:52:55:715000
538.24664,21872,10:52:56:615000
539.7467,22772,10:52:57:515000
0.0,0,10:52:34:743000
523.6906,23672,10:52:58:415000
538.2447,24572,10:52:59:315000
542.9907,25472,10:53:00:215000
538.7364,26372,10:53:01:115000
547.6361,27272,10:53:02:015000
538.91205,28172,10:53:02:915000
543.3355,29072,10:53:03:815000
0.0,0,10:52:34:743000
531.20624,29972,10:53:04:715000
532.3775,30872,10:53:05:615000
544.0401,31772,10:53:06:515000
0.0,0,10:52:34:743000
538.2561,32672,10:53:07:415000
547.65784,33572,10:53:08:315000
531.8651,34472,10:53:09:215000
547.2025,35372,10:53:10:115000
542.2987,36272,10:53:11:015000
537.6239,37172,10:53:11:915000
537.17224,38072,10:53:12:815000
0.0,0,10:52:34:743000
542.2523,38972,10:53:13:715000
542.0209,39872,10:53:14:615000
533.00714,40772,10:53:15:515000
0.0,0,10:52:34:743000
542.1653,41672,10:53:16:415000
542.5136,42572,10:53:17:315000
535.79645,43472,10:53:18:215000
537.7343,44372,10:53:19:115000
544.9841,45272,10:53:20:015000
544.1337,46172,10:53:20:915000
522.90076,47072,10:53:21:815000
0.0,0,10:52:34:743000
537.8978,47972,10:53:22:715000
534.7034,48872,10:53:23:615000
543.613,49772,10:53:24:515000
0.0,0,10:52:34:743000
542.8889,50672,10:53:25:415000
540.1588,51572,10:53:26:315000
546.83905,52472,10:53:27:215000
542.9306,53372,10:53:28:115000
543.0958,54272,10:53:29:015000
542.7514,55172,10:53:29:915000
538.3425,56072,10:53:30:815000
0.0,0,10:52:34:743000
535.8727,56972,10:53:31:715000
539.1048,57872,10:53:32:615000
537.42834,58772,10:53:33:515000
0.0,0,10:52:34:743000
