temp_buffers,times_ms_buffers,Time
24.273294,136,11:37:56:508000
24.26607,1036,11:37:57:408000
24.262714,1936,11:37:58:308000
0.0,0,11:37:56:372000
24.274038,2836,11:37:59:208000
24.278042,3736,11:38:00:108000
24.281988,4636,11:38:01:008000
0.0,0,11:37:56:372000
24.28214,5536,11:38:01:908000
24.293636,6436,11:38:02:808000
24.290112,7336,11:38:03:708000
24.297928,8236,11:38:04:608000
24.301758,9136,11:38:05:508000
24.309443,10036,11:38:06:408000
24.317087,10936,11:38:07:308000
0.0,0,11:37:56:372000
24.320919,11836,11:38:08:208000
24.30666,12736,11:38:09:108000
24.299454,13636,11:38:10:008000
0.0,0,11:37:56:372000
24.307117,14536,11:38:10:908000
24.303741,15436,11:38:11:808000
24.304049,16336,11:38:12:708000
24.307995,17236,11:38:13:608000
24.304657,18136,11:38:14:508000
24.301266,19036,11:38:15:408000
24.3014,19936,11:38:16:308000
0.0,0,11:37:56:372000
24.3054,20836,11:38:17:208000
24.305687,21736,11:38:18:108000
24.313372,22636,11:38:19:008000
0.0,0,11:37:56:372000
24.317337,23536,11:38:19:908000
24.313982,24436,11:38:20:808000
24.325306,25336,11:38:21:708000
24.332817,26236,11:38:22:608000
24.318558,27136,11:38:23:508000
24.31888,28036,11:38:24:408000
24.326391,28936,11:38:25:308000
0.0,0,11:37:56:372000
24.304604,29836,11:38:26:208000
24.293888,30736,11:38:27:108000
24.286818,31636,11:38:28:008000
0.0,0,11:37:56:372000
24.276104,32536,11:38:28:908000
24.283728,33436,11:38:29:808000
24.291393,34336,11:38:30:708000
24.288017,35236,11:38:31:608000
24.299362,36136,11:38:32:508000
24.299665,37036,11:38:33:408000
24.299992,37936,11:38:34:308000
0.0,0,11:37:56:372000
24.311314,38836,11:38:35:208000
24.260128,39736,11:38:36:108000
24.286018,40636,11:38:37:008000
0.0,0,11:37:56:372000
24.29,41536,11:38:37:908000
24.297665,42436,11:38:38:808000
24.29429,43336,11:38:39:708000
24.298277,44236,11:38:40:608000
24.30594,45136,11:38:41:508000
24.306246,46036,11:38:42:408000
24.317589,46936,11:38:43:308000
0.0,0,11:37:56:372000
24.31034,47836,11:38:44:208000
24.307123,48736,11:38:45:108000
24.299915,49636,11:38:46:008000
0.0,0,11:37:56:372000
24.29288,50536,11:38:46:908000
24.315395,51436,11:38:47:808000
24.304682,52336,11:38:48:708000
24.308498,53236,11:38:49:608000
24.308819,54136,11:38:50:508000
24.323977,55036,11:38:51:408000
24.320621,55936,11:38:52:308000
0.0,0,11:37:56:372000
24.324434,56836,11:38:53:208000
24.317398,57736,11:38:54:108000
24.321365,58636,11:38:55:008000
0.0,0,11:37:56:372000
