temp_buffers,times_ms_buffers,Time
502.2558,408,10:52:35:151000
505.5482,1308,10:52:36:051000
491.41135,2208,10:52:36:951000
0.0,0,10:52:34:743000
500.7245,3108,10:52:37:851000
500.30496,4008,10:52:38:751000
500.50873,4908,10:52:39:651000
0.0,0,10:52:34:743000
501.22842,5808,10:52:40:551000
502.98618,6708,10:52:41:451000
494.92828,7608,10:52:42:351000
508.3703,8508,10:52:43:251000
500.53165,9408,10:52:44:151000
495.92746,10308,10:52:45:051000
492.84573,11208,10:52:45:951000
0.0,0,10:52:34:743000
503.4695,12108,10:52:46:851000
490.2778,13008,10:52:47:751000
500.96454,13908,10:52:48:651000
0.0,0,10:52:34:743000
496.0013,14808,10:52:49:551000
507.90366,15708,10:52:50:451000
501.44824,16608,10:52:51:351000
504.51642,17508,10:52:52:251000
491.6381,18408,10:52:53:151000
504.17136,19308,10:52:54:051000
491.04996,20208,10:52:54:951000
0.0,0,10:52:34:743000
504.71613,21108,10:52:55:851000
494.4366,22008,10:52:56:751000
501.1354,22908,10:52:57:651000
0.0,0,10:52:34:743000
498.42575,23808,10:52:58:551000
501.50043,24708,10:52:59:451000
490.7192,25608,10:53:00:351000
493.51315,26508,10:53:01:251000
496.30905,27408,10:53:02:151000
498.8763,28308,10:53:03:051000
497.5491,29208,10:53:03:951000
0.0,0,10:52:34:743000
494.00034,30108,10:53:04:851000
503.40814,31008,10:53:05:751000
504.76968,31908,10:53:06:651000
0.0,0,10:52:34:743000
501.7107,32808,10:53:07:551000
501.2006,33708,10:53:08:451000
498.04868,34608,10:53:09:351000
498.33444,35508,10:53:10:251000
486.83704,36408,10:53:11:151000
496.871,37308,10:53:12:051000
501.92413,38208,10:53:12:951000
0.0,0,10:52:34:743000
487.74216,39108,10:53:13:851000
500.3124,40008,10:53:14:751000
499.04724,40908,10:53:15:651000
0.0,0,10:52:34:743000
495.37152,41808,10:53:16:551000
506.74692,42708,10:53:17:451000
503.81445,43608,10:53:18:351000
496.91504,44508,10:53:19:251000
502.84293,45408,10:53:20:151000
504.95377,46308,10:53:21:051000
509.49762,47208,10:53:21:951000
0.0,0,10:52:34:743000
497.64514,48108,10:53:22:851000
502.64023,49008,10:53:23:751000
502.01593,49908,10:53:24:651000
0.0,0,10:52:34:743000
491.86615,50808,10:53:25:551000
496.06192,51708,10:53:26:451000
502.68695,52608,10:53:27:351000
497.14075,53508,10:53:28:251000
507.70468,54408,10:53:29:151000
503.25015,55308,10:53:30:051000
490.50992,56208,10:53:30:951000
0.0,0,10:52:34:743000
502.86798,57108,10:53:31:851000
498.54437,58008,10:53:32:751000
495.95148,58908,10:53:33:651000
0.0,0,10:52:34:743000
