temp_buffers,times_ms_buffers,Time
0.17553568,136,14:26:42:239000
0.15571713,1036,14:26:43:139000
0.16734004,1936,14:26:44:039000
0.0,0,14:26:42:103000
0.17106533,2836,14:26:44:939000
0.1783669,3736,14:26:45:839000
0.17821789,4636,14:26:46:739000
0.0,0,14:26:42:103000
0.16123056,5536,14:26:47:639000
0.166893,6436,14:26:48:539000
0.17523766,7336,14:26:49:439000
0.16883016,8236,14:26:50:339000
0.17464161,9136,14:26:51:239000
0.17270446,10036,14:26:52:139000
0.17777085,10936,14:26:53:039000
0.0,0,14:26:42:103000
0.16495585,11836,14:26:53:939000
0.16734004,12736,14:26:54:839000
0.18075109,13636,14:26:55:739000
0.0,0,14:26:42:103000
0.18671155,14536,14:26:56:639000
0.1834333,15436,14:26:57:539000
0.17389655,16336,14:26:58:439000
0.18849969,17236,14:26:59:339000
0.16257167,18136,14:27:00:239000
0.1783669,19036,14:27:01:139000
0.18209219,19936,14:27:02:039000
0.0,0,14:26:42:103000
0.17479062,20836,14:27:02:939000
0.17344952,21736,14:27:03:839000
0.16793609,22636,14:27:04:739000
0.0,0,14:26:42:103000
0.17553568,23536,14:27:05:639000
0.17896295,24436,14:27:06:539000
0.18462539,25336,14:27:07:439000
0.17404556,26236,14:27:08:339000
0.17255545,27136,14:27:09:239000
0.17613173,28036,14:27:10:139000
0.16659498,28936,14:27:11:039000
0.0,0,14:26:42:103000
0.15795231,29836,14:27:11:939000
0.16584992,30736,14:27:12:839000
0.16763806,31636,14:27:13:739000
0.0,0,14:26:42:103000
0.15184283,32536,14:27:14:639000
0.15288591,33436,14:27:15:539000
0.15765429,34336,14:27:16:439000
0.17404556,35236,14:27:17:339000
0.16868114,36136,14:27:18:239000
0.17136335,37036,14:27:19:139000
0.17017126,37936,14:27:20:039000
0.0,0,14:26:42:103000
0.1719594,38836,14:27:20:939000
0.16912818,39736,14:27:21:839000
0.16883016,40636,14:27:22:739000
0.0,0,14:26:42:103000
0.16093254,41536,14:27:23:639000
0.15586615,42436,14:27:24:539000
0.1655519,43336,14:27:25:439000
0.16152859,44236,14:27:26:339000
0.16346574,45136,14:27:27:239000
0.15601516,46036,14:27:28:139000
0.15988946,46936,14:27:29:039000
0.0,0,14:26:42:103000
0.15839934,47836,14:27:29:939000
0.16778708,48736,14:27:30:839000
0.16912818,49636,14:27:31:739000
0.0,0,14:26:42:103000
0.16987324,50536,14:27:32:639000
0.17806888,51436,14:27:33:539000
0.17777085,52336,14:27:34:439000
0.16242266,53236,14:27:35:339000
0.16987324,54136,14:27:36:239000
0.16599894,55036,14:27:37:139000
0.1707673,55936,14:27:38:039000
0.0,0,14:26:42:103000
0.1707673,56836,14:27:38:939000
0.16629696,57736,14:27:39:839000
0.15214086,58636,14:27:40:739000
0.0,0,14:26:42:103000
