temp_buffers,times_ms_buffers,Time
23.875368,0,15:03:51:273000
23.875368,900,15:03:52:173000
23.875671,1800,15:03:53:073000
0.0,0,15:03:51:273000
23.875973,2700,15:03:53:973000
23.876125,3600,15:03:54:873000
23.876278,4500,15:03:55:773000
0.0,0,15:03:51:273000
23.87643,5400,15:03:56:673000
23.876732,6300,15:03:57:573000
23.877035,7200,15:03:58:473000
23.877035,8100,15:03:59:373000
23.877338,9000,15:04:00:273000
23.87749,9900,15:04:01:173000
23.877642,10800,15:04:02:073000
0.0,0,15:03:51:273000
23.877945,11700,15:04:02:973000
23.878096,12600,15:04:03:873000
23.878248,13500,15:04:04:773000
0.0,0,15:03:51:273000
23.878551,14400,15:04:05:673000
23.878704,15300,15:04:06:573000
23.878855,16200,15:04:07:473000
23.879005,17100,15:04:08:373000
23.879158,18000,15:04:09:273000
23.879309,18900,15:04:10:173000
23.879612,19800,15:04:11:073000
0.0,0,15:03:51:273000
23.879763,20700,15:04:11:973000
23.879913,21600,15:04:12:873000
23.88022,22500,15:04:13:773000
0.0,0,15:03:51:273000
23.880371,23400,15:04:14:673000
23.880522,24300,15:04:15:573000
23.880823,25200,15:04:16:473000
23.880976,26100,15:04:17:373000
23.88113,27000,15:04:18:273000
23.88128,27900,15:04:19:173000
23.881582,28800,15:04:20:073000
0.0,0,15:03:51:273000
23.881733,29700,15:04:20:973000
23.882038,30600,15:04:21:873000
23.882038,31500,15:04:22:773000
0.0,0,15:03:51:273000
23.882189,32400,15:04:23:673000
23.882492,33300,15:04:24:573000
23.882643,34200,15:04:25:473000
23.882797,35100,15:04:26:373000
23.883099,36000,15:04:27:273000
23.883099,36900,15:04:28:173000
23.88325,37800,15:04:29:073000
0.0,0,15:03:51:273000
23.883554,38700,15:04:29:973000
23.883707,39600,15:04:30:873000
23.883858,40500,15:04:31:773000
0.0,0,15:03:51:273000
23.884008,41400,15:04:32:673000
23.88431,42300,15:04:33:573000
23.884464,43200,15:04:34:473000
23.884615,44100,15:04:35:373000
23.884918,45000,15:04:36:273000
23.885069,45900,15:04:37:173000
23.885374,46800,15:04:38:073000
0.0,0,15:03:51:273000
23.885374,47700,15:04:38:973000
23.885525,48600,15:04:39:873000
23.885826,49500,15:04:40:773000
0.0,0,15:03:51:273000
23.885979,50400,15:04:41:673000
23.886284,51300,15:04:42:573000
23.886435,52200,15:04:43:473000
23.886736,53100,15:04:44:373000
23.886889,54000,15:04:45:273000
23.887192,54900,15:04:46:173000
23.887344,55800,15:04:47:073000
0.0,0,15:03:51:273000
23.887495,56700,15:04:47:973000
23.887798,57600,15:04:48:873000
23.887949,58500,15:04:49:773000
0.0,0,15:03:51:273000
