GPIO,State,Tick,Diff,Time
21,1,2974208833,111140,15:11:03:296618
16,0,2974217208,166660,15:11:03:304820
21,0,2974305764,96931,15:11:03:393154
16,1,2974383864,166656,15:11:03:471061
21,1,2974399790,94026,15:11:03:487315
21,0,2974494264,94474,15:11:03:582186
16,0,2974550524,166660,15:11:03:637982
21,1,2974596764,102500,15:11:03:684730
21,0,2974694475,97711,15:11:03:781924
16,1,2974717185,166661,15:11:03:804427
21,1,2974790250,95775,15:11:03:878344
21,0,2974883210,92960,15:11:03:970766
16,0,2974883842,166657,15:11:03:971845
21,1,2974983225,100015,15:11:04:070661
16,1,2975050501,166659,15:11:04:138112
21,0,2975077696,94471,15:11:04:165098
21,1,2975170306,92610,15:11:04:258161
16,0,2975217161,166660,15:11:04:304326
21,0,2975260241,89935,15:11:04:347900
21,1,2975357802,97561,15:11:04:445369
16,1,2975383817,166656,15:11:04:471651
21,0,2975449676,91874,15:11:04:537241
21,1,2975542627,92951,15:11:04:630464
16,0,2975550477,166660,15:11:04:637661
21,0,2975634092,91465,15:11:04:721597
16,1,2975717137,166660,15:11:04:804905
21,1,2975732537,98445,15:11:04:820068
21,0,2975826168,93631,15:11:04:914418
16,0,2975883793,166656,15:11:04:971636
21,1,2975926723,100555,15:11:05:014130
21,0,2976024033,97310,15:11:05:111480
16,1,2976050453,166660,15:11:05:137780
21,1,2976134018,109985,15:11:05:221767
16,0,2976217108,166655,15:11:05:304342
21,0,2976242644,108626,15:11:05:330434
21,1,2976348494,105850,15:11:05:435811
16,1,2976383769,166661,15:11:05:471900
21,0,2976450679,102185,15:11:05:538004
16,0,2976550429,166660,15:11:05:638218
21,1,2976564179,113500,15:11:05:652329
21,0,2976674585,110406,15:11:05:762552
16,1,2976717085,166656,15:11:05:804576
21,1,2976785750,111165,15:11:05:873217
16,0,2976883745,166660,15:11:05:971812
21,0,2976896800,111050,15:11:05:984922
21,1,2977008506,111706,15:11:06:096140
16,1,2977050406,166661,15:11:06:138239
21,0,2977114071,105565,15:11:06:201673
21,1,2977215086,101015,15:11:06:302768
16,0,2977217061,166655,15:11:06:304853
21,0,2977315206,100120,15:11:06:402805
16,1,2977383721,166660,15:11:06:471786
21,1,2977421596,106390,15:11:06:508780
21,0,2977529742,108146,15:11:06:617821
16,0,2977550382,166661,15:11:06:638053
21,1,2977637617,107875,15:11:06:725039
16,1,2977717037,166655,15:11:06:804468
21,0,2977744617,107000,15:11:06:832032
21,1,2977860593,115976,15:11:06:947890
16,0,2977883698,166661,15:11:06:971490
