temp_buffers,times_ms_buffers,Time
0.11101365,68,10:52:34:811000
0.10803342,968,10:52:35:711000
0.11011958,1868,10:52:36:611000
0.0,0,10:52:34:743000
0.10535121,2768,10:52:37:511000
0.097453594,3668,10:52:38:411000
0.1090765,4568,10:52:39:311000
0.0,0,10:52:34:743000
0.10460615,5468,10:52:40:211000
0.10877848,6368,10:52:41:111000
0.10713935,7268,10:52:42:011000
0.110417604,8168,10:52:42:911000
0.10281801,9068,10:52:43:811000
0.093728304,9968,10:52:44:711000
0.10505319,10868,10:52:45:611000
0.0,0,10:52:34:743000
0.09432435,11768,10:52:46:511000
0.09894371,12668,10:52:47:411000
0.086426735,13568,10:52:48:311000
0.0,0,10:52:34:743000
0.107586384,14468,10:52:49:211000
0.1090765,15368,10:52:50:111000
0.09596348,16268,10:52:51:011000
0.097602606,17168,10:52:51:911000
0.11861324,18068,10:52:52:811000
0.10609627,18968,10:52:53:711000
0.116974115,19868,10:52:54:611000
0.0,0,10:52:34:743000
0.1090765,20768,10:52:55:511000
0.112205744,21668,10:52:56:411000
0.10147691,22568,10:52:57:311000
0.0,0,10:52:34:743000
0.104904175,23468,10:52:58:211000
0.10281801,24368,10:52:59:111000
0.103116035,25268,10:53:00:011000
0.10535121,26168,10:53:00:911000
0.11906028,27068,10:53:01:811000
0.106692314,27968,10:53:02:711000
0.11309981,28868,10:53:03:611000
0.0,0,10:52:34:743000
0.11086464,29768,10:53:04:511000
0.11458993,30668,10:53:05:411000
0.11280179,31568,10:53:06:311000
0.0,0,10:52:34:743000
0.119656324,32468,10:53:07:211000
0.11071563,33368,10:53:08:111000
0.11578202,34268,10:53:09:011000
0.1052022,35168,10:53:09:911000
0.12040138,36068,10:53:10:811000
0.12621284,36968,10:53:11:711000
0.101327896,37868,10:53:12:611000
0.0,0,10:52:34:743000
0.10609627,38768,10:53:13:511000
0.115185976,39668,10:53:14:411000
0.10624528,40568,10:53:15:311000
0.0,0,10:52:34:743000
0.10818243,41468,10:53:16:211000
0.106841326,42368,10:53:17:111000
0.09864569,43268,10:53:18:011000
0.1116097,44168,10:53:18:911000
0.09998679,45068,10:53:19:811000
0.107586384,45968,10:53:20:711000
0.10609627,46868,10:53:21:611000
0.0,0,10:52:34:743000
0.1090765,47768,10:53:22:511000
0.09953976,48668,10:53:23:411000
0.11011958,49568,10:53:24:311000
0.0,0,10:52:34:743000
0.09968877,50468,10:53:25:211000
0.10430813,51368,10:53:26:111000
0.1129508,52268,10:53:27:011000
0.11563301,53168,10:53:27:911000
0.102221966,54068,10:53:28:811000
0.104010105,54968,10:53:29:711000
0.112205744,55868,10:53:30:611000
0.0,0,10:52:34:743000
0.11533499,56768,10:53:31:511000
0.102221966,57668,10:53:32:411000
0.09700656,58568,10:53:33:311000
0.0,0,10:52:34:743000
