temp_buffers,times_ms_buffers,Time
21.834743,0,10:52:34:743000
21.832756,900,10:52:35:643000
21.846655,1800,10:52:36:543000
0.0,0,10:52:34:743000
21.842827,2700,10:52:37:443000
21.849352,3600,10:52:38:343000
21.836018,4500,10:52:39:243000
0.0,0,10:52:34:743000
21.851622,5400,10:52:40:143000
21.850483,6300,10:52:41:043000
21.859278,7200,10:52:41:943000
21.872044,8100,10:52:42:843000
21.849209,9000,10:52:43:743000
21.850626,9900,10:52:44:643000
21.872612,10800,10:52:45:543000
0.0,0,10:52:34:743000
21.859705,11700,10:52:46:443000
21.84637,12600,10:52:47:343000
21.8641,13500,10:52:48:243000
0.0,0,10:52:34:743000
21.887787,14400,10:52:49:143000
21.869349,15300,10:52:50:043000
21.844244,16200,10:52:50:943000
21.856016,17100,10:52:51:843000
21.860697,18000,10:52:52:743000
21.863815,18900,10:52:53:643000
21.863815,19800,10:52:54:543000
0.0,0,10:52:34:743000
21.853178,20700,10:52:55:443000
21.868214,21600,10:52:56:343000
21.856585,22500,10:52:57:243000
0.0,0,10:52:34:743000
21.880835,23400,10:52:58:143000
21.844103,24300,10:52:59:043000
21.843393,25200,10:52:59:943000
21.864527,26100,10:53:00:843000
21.861975,27000,10:53:01:743000
21.880129,27900,10:53:02:643000
21.897007,28800,10:53:03:543000
0.0,0,10:52:34:743000
21.88027,29700,10:53:04:443000
21.872326,30600,10:53:05:343000
21.869207,31500,10:53:06:243000
0.0,0,10:52:34:743000
21.859705,32400,10:53:07:143000
21.89587,33300,10:53:08:043000
21.874168,34200,10:53:08:943000
21.862116,35100,10:53:09:843000
21.858711,36000,10:53:10:743000
21.87176,36900,10:53:11:643000
21.875023,37800,10:53:12:543000
0.0,0,10:52:34:743000
21.898283,38700,10:53:13:443000
21.882963,39600,10:53:14:343000
21.876015,40500,10:53:15:243000
0.0,0,10:52:34:743000
21.876581,41400,10:53:16:143000
21.893457,42300,10:53:17:043000
21.877575,43200,10:53:17:943000
21.881264,44100,10:53:18:843000
21.835592,45000,10:53:19:743000
21.83148,45900,10:53:20:643000
21.883247,46800,10:53:21:543000
0.0,0,10:52:34:743000
21.876581,47700,10:53:22:443000
21.901545,48600,10:53:23:343000
21.879843,49500,10:53:24:243000
0.0,0,10:52:34:743000
21.883533,50400,10:53:25:143000
21.885376,51300,10:53:26:043000
21.888212,52200,10:53:26:943000
21.872185,53100,10:53:27:843000
21.898708,54000,10:53:28:743000
21.915445,54900,10:53:29:643000
21.866087,55800,10:53:30:543000
0.0,0,10:52:34:743000
21.884098,56700,10:53:31:443000
21.89885,57600,10:53:32:343000
21.87956,58500,10:53:33:243000
0.0,0,10:52:34:743000
