temp_buffers,times_ms_buffers,Time
23.407717,0,11:17:58:652000
23.408173,900,11:17:59:552000
23.408777,1800,11:18:00:452000
0.0,0,11:17:58:652000
23.409384,2700,11:18:01:352000
23.409992,3600,11:18:02:252000
23.410597,4500,11:18:03:152000
0.0,0,11:17:58:652000
23.411203,5400,11:18:04:052000
23.41181,6300,11:18:04:952000
23.412264,7200,11:18:05:852000
23.41287,8100,11:18:06:752000
23.413479,9000,11:18:07:652000
23.414082,9900,11:18:08:552000
23.41469,10800,11:18:09:452000
0.0,0,11:17:58:652000
23.415144,11700,11:18:10:352000
23.415903,12600,11:18:11:252000
23.416357,13500,11:18:12:152000
0.0,0,11:17:58:652000
23.416964,14400,11:18:13:052000
23.41757,15300,11:18:13:952000
23.418177,16200,11:18:14:852000
23.418783,17100,11:18:15:752000
23.41939,18000,11:18:16:652000
23.419844,18900,11:18:17:552000
23.42045,19800,11:18:18:452000
0.0,0,11:17:58:652000
23.421207,20700,11:18:19:352000
23.421665,21600,11:18:20:252000
23.422268,22500,11:18:21:152000
0.0,0,11:17:58:652000
23.422876,23400,11:18:22:052000
23.423332,24300,11:18:22:952000
23.423935,25200,11:18:23:852000
23.424694,26100,11:18:24:752000
23.425152,27000,11:18:25:652000
23.425755,27900,11:18:26:552000
23.426361,28800,11:18:27:452000
0.0,0,11:17:58:652000
23.42697,29700,11:18:28:352000
23.427576,30600,11:18:29:252000
23.42818,31500,11:18:30:152000
0.0,0,11:17:58:652000
23.428635,32400,11:18:31:052000
23.429243,33300,11:18:31:952000
23.429848,34200,11:18:32:852000
23.430456,35100,11:18:33:752000
23.43106,36000,11:18:34:652000
23.43167,36900,11:18:35:552000
23.432274,37800,11:18:36:452000
0.0,0,11:17:58:652000
23.43288,38700,11:18:37:352000
23.433487,39600,11:18:38:252000
23.434093,40500,11:18:39:152000
0.0,0,11:17:58:652000
23.434698,41400,11:18:40:052000
23.435156,42300,11:18:40:952000
23.435759,43200,11:18:41:852000
23.436367,44100,11:18:42:752000
23.436974,45000,11:18:43:652000
23.437428,45900,11:18:44:552000
23.438034,46800,11:18:45:452000
0.0,0,11:17:58:652000
23.438643,47700,11:18:46:352000
23.439247,48600,11:18:47:252000
23.439854,49500,11:18:48:152000
0.0,0,11:17:58:652000
23.44046,50400,11:18:49:052000
23.440914,51300,11:18:49:952000
23.441673,52200,11:18:50:852000
23.44213,53100,11:18:51:752000
23.442734,54000,11:18:52:652000
23.44334,54900,11:18:53:552000
23.443947,55800,11:18:54:452000
0.0,0,11:17:58:652000
23.444553,56700,11:18:55:352000
23.44516,57600,11:18:56:252000
23.445612,58500,11:18:57:152000
0.0,0,11:17:58:652000
