GPIO,State,Tick,Diff,Time
8,0,3308614674,29940,11:41:52:935438
8,1,3308646449,31775,11:41:52:966795
8,0,3308677799,31350,11:41:52:998159
8,1,3308704804,27005,11:41:53:024617
8,0,3308736549,31745,11:41:53:057178
8,1,3308767399,30850,11:41:53:087734
8,0,3308797319,29920,11:41:53:117181
8,1,3308829229,31910,11:41:53:149520
8,0,3308861149,31920,11:41:53:180854
8,1,3308893044,31895,11:41:53:213386
8,0,3308924384,31340,11:41:53:244926
8,1,3308955084,30700,11:41:53:275496
8,0,3308986815,31731,11:41:53:307139
8,1,3309018725,31910,11:41:53:338475
8,0,3309050555,31830,11:41:53:370828
8,1,3309082390,31835,11:41:53:402330
8,0,3309112835,30445,11:41:53:433580
8,1,3309144715,31880,11:41:53:464906
8,0,3309176625,31910,11:41:53:497288
8,1,3309205045,28420,11:41:53:525843
8,0,3309232795,27750,11:41:53:553358
8,1,3309264675,31880,11:41:53:584906
8,0,3309296610,31935,11:41:53:616503
8,1,3309328315,31705,11:41:53:648848
8,0,3309355415,27100,11:41:53:675188
8,1,3309387335,31920,11:41:53:707526
8,0,3309419111,31776,11:41:53:739166
8,1,3309446181,27070,11:41:53:766667
8,0,3309478036,31855,11:41:53:798228
8,1,3309509886,31850,11:41:53:829721
8,0,3309537886,28000,11:41:53:858037
8,1,3309569861,31975,11:41:53:890390
8,0,3309601711,31850,11:41:53:921846
8,1,3309628566,26855,11:41:53:949352
8,0,3309660486,31920,11:41:53:980893
8,1,3309692356,31870,11:41:54:012535
8,0,3309721301,28945,11:41:54:041847
8,1,3309753241,31940,11:41:54:073159
8,0,3309785147,31906,11:41:54:105564
8,1,3309817047,31900,11:41:54:137209
8,0,3309848927,31880,11:41:54:168851
8,1,3309880802,31875,11:41:54:201452
8,0,3309912717,31915,11:41:54:233055
8,1,3309943237,30520,11:41:54:263615
8,0,3309975152,31915,11:41:54:295181
8,1,3310007057,31905,11:41:54:327778
8,0,3310038447,31390,11:41:54:358353
8,1,3310070287,31840,11:41:54:390918
8,0,3310102252,31965,11:41:54:422511
8,1,3310134147,31895,11:41:54:454075
8,0,3310165157,31010,11:41:54:485631
8,1,3310197048,31891,11:41:54:517226
8,0,3310228878,31830,11:41:54:548812
8,1,3310260788,31910,11:41:54:581361
8,0,3310292628,31840,11:41:54:612927
8,1,3310324518,31890,11:41:54:644525
8,0,3310356383,31865,11:41:54:676096
8,1,3310388353,31970,11:41:54:708662
8,0,3310420373,32020,11:41:54:740287
8,1,3310450313,29940,11:41:54:770851
