temp_buffers,times_ms_buffers,Time
54.03325,544,14:12:46:814000
54.116974,1444,14:12:47:714000
53.53247,2344,14:12:48:614000
0.0,0,14:12:46:270000
53.69711,3244,14:12:49:514000
54.187733,4144,14:12:50:414000
53.913673,5044,14:12:51:314000
0.0,0,14:12:46:270000
53.67222,5944,14:12:52:214000
53.021545,6844,14:12:53:114000
55.096558,7744,14:12:54:014000
54.48752,8644,14:12:54:914000
53.053802,9544,14:12:55:814000
54.646698,10444,14:12:56:714000
54.09389,11344,14:12:57:614000
0.0,0,14:12:46:270000
53.48693,12244,14:12:58:514000
55.016434,13144,14:12:59:414000
54.141144,14044,14:13:00:314000
0.0,0,14:12:46:270000
53.994087,14944,14:13:01:214000
54.63311,15844,14:13:02:114000
53.99755,16744,14:13:03:014000
54.89176,17644,14:13:03:914000
54.451138,18544,14:13:04:814000
53.847977,19444,14:13:05:714000
54.551865,20344,14:13:06:614000
0.0,0,14:12:46:270000
53.992283,21244,14:13:07:514000
54.214447,22144,14:13:08:414000
53.47463,23044,14:13:09:314000
0.0,0,14:12:46:270000
54.47854,23944,14:13:10:214000
54.964466,24844,14:13:11:114000
56.238976,25744,14:13:12:014000
54.097267,26644,14:13:12:914000
55.157574,27544,14:13:13:814000
54.84844,28444,14:13:14:714000
58.665413,29344,14:13:15:614000
0.0,0,14:12:46:270000
59.02944,30244,14:13:16:514000
57.799934,31144,14:13:17:414000
58.113277,32044,14:13:18:314000
0.0,0,14:12:46:270000
58.758476,32944,14:13:19:214000
56.947575,33844,14:13:20:114000
54.945686,34744,14:13:21:014000
54.923405,35644,14:13:21:914000
53.781727,36544,14:13:22:814000
54.920013,37444,14:13:23:714000
54.37578,38344,14:13:24:614000
0.0,0,14:12:46:270000
54.523724,39244,14:13:25:514000
54.3169,40144,14:13:26:414000
54.41722,41044,14:13:27:314000
0.0,0,14:12:46:270000
55.025833,41944,14:13:28:214000
53.50901,42844,14:13:29:114000
54.3374,43744,14:13:30:014000
54.725163,44644,14:13:30:914000
55.003174,45544,14:13:31:814000
55.4306,46444,14:13:32:714000
55.591652,47344,14:13:33:614000
0.0,0,14:12:46:270000
54.472733,48244,14:13:34:514000
54.059254,49144,14:13:35:414000
55.86474,50044,14:13:36:314000
0.0,0,14:12:46:270000
55.008778,50944,14:13:37:214000
54.19637,51844,14:13:38:114000
55.334206,52744,14:13:39:014000
54.375183,53644,14:13:39:914000
55.077328,54544,14:13:40:814000
53.857613,55444,14:13:41:714000
54.95753,56344,14:13:42:614000
0.0,0,14:12:46:270000
55.099106,57244,14:13:43:514000
54.833176,58144,14:13:44:414000
54.2661,59044,14:13:45:314000
0.0,0,14:12:46:270000
55.0168,59944,14:13:46:214000
54.035202,60844,14:13:47:114000
54.93039,61744,14:13:48:014000
55.179214,62644,14:13:48:914000
55.011753,63544,14:13:49:814000
54.459957,64444,14:13:50:714000
53.537544,65344,14:13:51:614000
0.0,0,14:12:46:270000
55.268124,66244,14:13:52:514000
55.37992,67144,14:13:53:414000
54.148308,68044,14:13:54:314000
0.0,0,14:12:46:270000
54.46163,68944,14:13:55:214000
54.68127,69844,14:13:56:114000
55.365654,70744,14:13:57:014000
55.888504,71644,14:13:57:914000
54.55901,72544,14:13:58:814000
54.307198,73444,14:13:59:714000
55.459435,74344,14:14:00:614000
0.0,0,14:12:46:270000
54.424988,75244,14:14:01:514000
55.181202,76144,14:14:02:414000
55.92244,77044,14:14:03:314000
0.0,0,14:12:46:270000
