temp_buffers,times_ms_buffers,Time
22.738993,0,16:52:29:908000
22.738993,900,16:52:30:808000
22.73914,1800,16:52:31:708000
0.0,0,16:52:29:908000
22.739288,2700,16:52:32:608000
22.739433,3600,16:52:33:508000
22.739433,4500,16:52:34:408000
0.0,0,16:52:29:908000
22.739582,5400,16:52:35:308000
22.739582,6300,16:52:36:208000
22.739874,7200,16:52:37:108000
22.739874,8100,16:52:38:008000
22.739874,9000,16:52:38:908000
22.740019,9900,16:52:39:808000
22.740166,10800,16:52:40:708000
0.0,0,16:52:29:908000
22.740166,11700,16:52:41:608000
22.740314,12600,16:52:42:508000
22.740461,13500,16:52:43:408000
0.0,0,16:52:29:908000
22.740461,14400,16:52:44:308000
22.740608,15300,16:52:45:208000
22.740608,16200,16:52:46:108000
22.740753,17100,16:52:47:008000
22.7409,18000,16:52:47:908000
22.741045,18900,16:52:48:808000
22.741045,19800,16:52:49:708000
0.0,0,16:52:29:908000
22.741045,20700,16:52:50:608000
22.741194,21600,16:52:51:508000
22.741339,22500,16:52:52:408000
0.0,0,16:52:29:908000
22.741486,23400,16:52:53:308000
22.741486,24300,16:52:54:208000
22.741486,25200,16:52:55:108000
22.741634,26100,16:52:56:008000
22.74178,27000,16:52:56:908000
22.74178,27900,16:52:57:808000
22.741926,28800,16:52:58:708000
0.0,0,16:52:29:908000
22.742073,29700,16:52:59:608000
22.742073,30600,16:53:00:508000
22.74222,31500,16:53:01:408000
0.0,0,16:52:29:908000
22.74222,32400,16:53:02:308000
22.742365,33300,16:53:03:208000
22.742365,34200,16:53:04:108000
22.742512,35100,16:53:05:008000
22.74266,36000,16:53:05:908000
22.74266,36900,16:53:06:808000
22.742805,37800,16:53:07:708000
0.0,0,16:52:29:908000
22.742805,38700,16:53:08:608000
22.742954,39600,16:53:09:508000
22.7431,40500,16:53:10:408000
0.0,0,16:52:29:908000
22.743246,41400,16:53:11:308000
22.743246,42300,16:53:12:208000
22.743391,43200,16:53:13:108000
22.743538,44100,16:53:14:008000
22.743685,45000,16:53:14:908000
22.743685,45900,16:53:15:808000
22.743685,46800,16:53:16:708000
0.0,0,16:52:29:908000
22.743832,47700,16:53:17:608000
22.74398,48600,16:53:18:508000
22.74398,49500,16:53:19:408000
0.0,0,16:52:29:908000
22.744125,50400,16:53:20:308000
22.744125,51300,16:53:21:208000
22.744272,52200,16:53:22:108000
22.744417,53100,16:53:23:008000
22.744417,54000,16:53:23:908000
22.744564,54900,16:53:24:808000
22.744713,55800,16:53:25:708000
0.0,0,16:52:29:908000
22.744713,56700,16:53:26:608000
22.744713,57600,16:53:27:508000
22.745007,58500,16:53:28:408000
0.0,0,16:52:29:908000
22.745007,59400,16:53:29:308000
22.745152,60300,16:53:30:208000
22.745152,61200,16:53:31:108000
22.745298,62100,16:53:32:008000
22.745298,63000,16:53:32:908000
22.745443,63900,16:53:33:808000
22.745739,64800,16:53:34:708000
0.0,0,16:52:29:908000
22.745739,65700,16:53:35:608000
