GPIO,State,Tick,Diff,Time
29,0,619798831,20,13:44:41:671262
29,1,620838849,1040018,13:44:42:710702
29,0,620838889,40,13:44:42:712222
29,1,621878847,1039958,13:44:43:750713
29,0,621878882,35,13:44:43:750980
29,1,622918849,1039967,13:44:44:790953
29,0,622918884,35,13:44:44:791206
29,1,623958852,1039968,13:44:45:831433
29,0,623958882,30,13:44:45:831666
29,1,624998850,1039968,13:44:46:871317
29,0,624998880,30,13:44:46:871547
29,1,626038857,1039977,13:44:47:910736
29,0,626038887,30,13:44:47:910980
29,1,627078860,1039973,13:44:48:951548
29,0,627078890,30,13:44:48:951774
15,1,628014907,5,13:44:49:887698
15,0,628014912,5,13:44:49:887943
15,1,628014957,45,13:44:49:888078
15,0,628014962,5,13:44:49:888209
15,1,628014997,35,13:44:49:888338
15,0,628015007,10,13:44:49:888494
15,1,628015027,20,13:44:49:888624
29,1,628118857,1039967,13:44:49:991299
29,0,628118887,30,13:44:49:991487
16,0,628256058,166656,13:44:50:128191
16,1,628422718,166660,13:44:50:294880
16,0,628589373,166655,13:44:50:461313
16,1,628756034,166661,13:44:50:627897
16,0,628922694,166660,13:44:50:794643
16,1,629089350,166656,13:44:50:961932
29,1,629158865,1039978,13:44:51:031463
29,0,629158900,35,13:44:51:031629
16,0,629256011,166661,13:44:51:127886
16,1,629422666,166655,13:44:51:295383
15,0,629515621,1500594,13:44:51:388323
15,1,629515641,20,13:44:51:388562
15,0,629515646,5,13:44:51:388695
15,1,629515661,15,13:44:51:388827
15,0,629515686,25,13:44:51:388956
15,1,629515711,25,13:44:51:389086
15,0,629515731,20,13:44:51:389217
15,1,629515746,15,13:44:51:389346
16,0,629589326,166660,13:44:51:461578
16,1,629755986,166660,13:44:51:627779
16,0,629922642,166656,13:44:51:794878
16,1,630089302,166660,13:44:51:961430
29,1,630198868,1039968,13:44:52:071331
29,0,630198903,35,13:44:52:071518
16,0,630255963,166661,13:44:52:128344
16,1,630422618,166655,13:44:52:294660
16,0,630589279,166661,13:44:52:461100
16,1,630755935,166656,13:44:52:628553
16,0,630922594,166659,13:44:52:795198
16,1,631089255,166661,13:44:52:960875
29,1,631238870,1039967,13:44:53:111164
29,0,631238900,30,13:44:53:111353
16,0,631255911,166656,13:44:53:127957
16,1,631422571,166660,13:44:53:294389
16,0,631589226,166655,13:44:53:460944
16,1,631755887,166661,13:44:53:628372
16,0,631922547,166660,13:44:53:795015
16,1,632089203,166656,13:44:53:961671
16,0,632255863,166660,13:44:54:128225
29,1,632278973,1040073,13:44:54:150998
29,0,632279003,30,13:44:54:151170
16,1,632422523,166660,13:44:54:294795
16,0,632589179,166656,13:44:54:461420
16,1,632755839,166660,13:44:54:627825
16,0,632922495,166656,13:44:54:794307
16,1,633089155,166660,13:44:54:960818
16,0,633255815,166660,13:44:55:128138
29,1,633318881,1039878,13:44:55:191197
29,0,633318921,40,13:44:55:191390
16,1,633422471,166656,13:44:55:294159
16,0,633589131,166660,13:44:55:460913
16,1,633755792,166661,13:44:55:627959
16,0,633922447,166655,13:44:55:794736
16,1,634089108,166661,13:44:55:960953
16,0,634255763,166655,13:44:56:127655
29,1,634358878,1039957,13:44:56:231091
29,0,634358903,25,13:44:56:231280
16,1,634422423,166660,13:44:56:294239
29,1,634519049,160146,13:44:56:390997
29,0,634523244,4195,13:44:56:395489
29,1,634523269,25,13:44:56:395698
29,0,634523299,30,13:44:56:395859
16,0,634589084,166661,13:44:56:461294
16,1,634755739,166655,13:44:56:628438
16,0,634922400,166661,13:44:56:794995
29,1,635079105,555806,13:44:56:951599
29,0,635080800,1695,13:44:56:953197
29,1,635080825,25,13:44:56:953440
29,0,635080850,25,13:44:56:953604
29,1,635081040,190,13:44:56:953759
29,0,635081800,760,13:44:56:955158
29,1,635081820,20,13:44:56:955320
29,0,635081845,25,13:44:56:955475
16,1,635089055,166655,13:44:56:960902
16,0,635255715,166660,13:44:57:127703
29,1,635398876,317031,13:44:57:270581
29,0,635398906,30,13:44:57:270778
16,1,635422376,166661,13:44:57:294320
16,0,635589031,166655,13:44:57:461574
16,1,635755692,166661,13:44:57:627832
16,0,635922347,166655,13:44:57:794029
16,1,636089008,166661,13:44:57:961271
16,0,636255668,166660,13:44:58:127437
16,1,636422323,166655,13:44:58:294655
29,1,636438883,1039977,13:44:58:311218
29,0,636438913,30,13:44:58:311376
16,0,636588984,166661,13:44:58:461377
16,1,636755644,166660,13:44:58:627570
16,0,636922300,166656,13:44:58:794658
16,1,637088960,166660,13:44:58:960698
16,0,637255621,166661,13:44:59:127953
16,1,637422276,166655,13:44:59:294537
29,1,637478886,1039973,13:44:59:350510
29,0,637478921,35,13:44:59:350674
16,0,637588936,166660,13:44:59:461067
16,1,637755592,166656,13:44:59:627770
16,0,637922252,166660,13:44:59:794545
16,1,638088913,166661,13:44:59:961410
16,0,638255568,166655,13:45:00:128197
16,1,638422228,166660,13:45:00:293965
29,1,638518879,1039958,13:45:00:391304
29,0,638518914,35,13:45:00:391491
16,0,638588889,166661,13:45:00:460466
16,1,638755544,166655,13:45:00:627919
16,0,638922205,166661,13:45:00:794466
16,1,639088865,166660,13:45:00:960939
16,0,639255521,166656,13:45:01:127370
16,1,639422181,166660,13:45:01:294731
29,1,639558891,1039977,13:45:01:431127
29,0,639558926,35,13:45:01:431297
16,0,639588836,166655,13:45:01:460883
16,1,639755497,166661,13:45:01:627346
16,0,639922157,166660,13:45:01:793883
