temp_buffers,times_ms_buffers,Time Stamps
24.423082,0,18:02:48:689000
24.423239,300,18:02:48:989000
24.423082,600,18:02:49:289000
24.423082,900,18:02:49:589000
24.422926,1200,18:02:49:889000
24.423082,1500,18:02:50:189000
24.423082,1800,18:02:50:489000
24.423082,2100,18:02:50:789000
24.423082,2400,18:02:51:089000
24.423082,2700,18:02:51:389000
24.423082,3000,18:02:51:689000
24.423082,3300,18:02:51:989000
24.423082,3600,18:02:52:289000
24.422926,3900,18:02:52:589000
24.422926,4200,18:02:52:889000
24.422926,4500,18:02:53:189000
24.423082,4800,18:02:53:489000
24.422926,5100,18:02:53:789000
24.422926,5400,18:02:54:089000
24.422926,5700,18:02:54:389000
24.422926,6000,18:02:54:689000
24.422926,6300,18:02:54:989000
24.422926,6600,18:02:55:289000
24.422926,6900,18:02:55:589000
24.422926,7200,18:02:55:889000
24.422926,7500,18:02:56:189000
24.422926,7800,18:02:56:489000
24.422926,8100,18:02:56:789000
24.422926,8400,18:02:57:089000
24.422926,8700,18:02:57:389000
24.422926,9000,18:02:57:689000
24.422926,9300,18:02:57:989000
24.422926,9600,18:02:58:289000
24.422768,9900,18:02:58:589000
24.422926,10200,18:02:58:889000
24.422768,10500,18:02:59:189000
24.422926,10800,18:02:59:489000
24.422926,11100,18:02:59:789000
24.422926,11400,18:03:00:089000
24.422926,11700,18:03:00:389000
24.422926,12000,18:03:00:689000
24.422768,12300,18:03:00:989000
24.422926,12600,18:03:01:289000
24.422768,12900,18:03:01:589000
24.422768,13200,18:03:01:889000
24.422768,13500,18:03:02:189000
24.422926,13800,18:03:02:489000
24.422926,14100,18:03:02:789000
24.422926,14400,18:03:03:089000
24.422926,14700,18:03:03:389000
24.422926,15000,18:03:03:689000
24.422926,15300,18:03:03:989000
24.422768,15600,18:03:04:289000
24.422926,15900,18:03:04:589000
24.422768,16200,18:03:04:889000
24.422926,16500,18:03:05:189000
24.422768,16800,18:03:05:489000
24.422768,17100,18:03:05:789000
24.422926,17400,18:03:06:089000
24.422768,17700,18:03:06:389000
24.422768,18000,18:03:06:689000
24.422926,18300,18:03:06:989000
24.422768,18600,18:03:07:289000
24.422768,18900,18:03:07:589000
24.422926,19200,18:03:07:889000
24.422768,19500,18:03:08:189000
24.422768,19800,18:03:08:489000
24.422768,20100,18:03:08:789000
24.422768,20400,18:03:09:089000
24.422768,20700,18:03:09:389000
24.422768,21000,18:03:09:689000
24.422768,21300,18:03:09:989000
24.422768,21600,18:03:10:289000
24.422926,21900,18:03:10:589000
24.422926,22200,18:03:10:889000
24.422926,22500,18:03:11:189000
24.422768,22800,18:03:11:489000
24.422768,23100,18:03:11:789000
24.422768,23400,18:03:12:089000
24.422926,23700,18:03:12:389000
24.422926,24000,18:03:12:689000
24.422926,24300,18:03:12:989000
24.422768,24600,18:03:13:289000
24.422768,24900,18:03:13:589000
24.422926,25200,18:03:13:889000
24.422768,25500,18:03:14:189000
24.422768,25800,18:03:14:489000
24.422926,26100,18:03:14:789000
24.422768,26400,18:03:15:089000
24.422768,26700,18:03:15:389000
24.422768,27000,18:03:15:689000
24.422768,27300,18:03:15:989000
24.422768,27600,18:03:16:289000
24.422926,27900,18:03:16:589000
24.422926,28200,18:03:16:889000
24.422926,28500,18:03:17:189000
24.422926,28800,18:03:17:489000
24.422768,29100,18:03:17:789000
24.422926,29400,18:03:18:089000
24.422926,29700,18:03:18:389000
24.422926,30000,18:03:18:689000
24.422926,30300,18:03:18:989000
24.422926,30600,18:03:19:289000
24.422926,30900,18:03:19:589000
24.422926,31200,18:03:19:889000
24.422926,31500,18:03:20:189000
24.422926,31800,18:03:20:489000
24.422926,32100,18:03:20:789000
24.422926,32400,18:03:21:089000
24.422926,32700,18:03:21:389000
24.422926,33000,18:03:21:689000
24.423082,33300,18:03:21:989000
24.422926,33600,18:03:22:289000
24.422926,33900,18:03:22:589000
24.422926,34200,18:03:22:889000
24.423082,34500,18:03:23:189000
24.423082,34800,18:03:23:489000
24.423082,35100,18:03:23:789000
24.422926,35400,18:03:24:089000
24.422926,35700,18:03:24:389000
24.423082,36000,18:03:24:689000
24.423082,36300,18:03:24:989000
24.423082,36600,18:03:25:289000
24.423082,36900,18:03:25:589000
24.423082,37200,18:03:25:889000
24.423082,37500,18:03:26:189000
24.423082,37800,18:03:26:489000
24.423082,38100,18:03:26:789000
24.423082,38400,18:03:27:089000
24.423082,38700,18:03:27:389000
24.423082,39000,18:03:27:689000
24.423082,39300,18:03:27:989000
24.423239,39600,18:03:28:289000
24.423082,39900,18:03:28:589000
24.423239,40200,18:03:28:889000
24.423082,40500,18:03:29:189000
24.423082,40800,18:03:29:489000
24.423239,41100,18:03:29:789000
24.423082,41400,18:03:30:089000
24.423239,41700,18:03:30:389000
24.423239,42000,18:03:30:689000
24.423082,42300,18:03:30:989000
24.423239,42600,18:03:31:289000
24.423239,42900,18:03:31:589000
24.423239,43200,18:03:31:889000
24.423239,43500,18:03:32:189000
24.423239,43800,18:03:32:489000
24.423395,44100,18:03:32:789000
24.423239,44400,18:03:33:089000
24.423239,44700,18:03:33:389000
24.423239,45000,18:03:33:689000
24.423395,45300,18:03:33:989000
24.423395,45600,18:03:34:289000
24.423395,45900,18:03:34:589000
24.423395,46200,18:03:34:889000
24.423553,46500,18:03:35:189000
24.423395,46800,18:03:35:489000
24.423395,47100,18:03:35:789000
24.423395,47400,18:03:36:089000
24.423553,47700,18:03:36:389000
24.423553,48000,18:03:36:689000
24.423553,48300,18:03:36:989000
24.423395,48600,18:03:37:289000
24.423553,48900,18:03:37:589000
24.42371,49200,18:03:37:889000
24.423553,49500,18:03:38:189000
0.0,0,18:02:48:689000
