temp_buffers,times_ms_buffers,Time Stamps
24.588593,68,18:02:48:757000
24.595951,368,18:02:49:057000
24.584913,668,18:02:49:357000
24.595951,968,18:02:49:657000
24.595951,1268,18:02:49:957000
24.60331,1568,18:02:50:257000
24.588593,1868,18:02:50:557000
24.588593,2168,18:02:50:857000
24.592272,2468,18:02:51:157000
24.592272,2768,18:02:51:457000
24.595951,3068,18:02:51:757000
24.595951,3368,18:02:52:057000
24.599628,3668,18:02:52:357000
24.595951,3968,18:02:52:657000
24.595951,4268,18:02:52:957000
24.595816,4568,18:02:53:257000
24.592136,4868,18:02:53:557000
24.599497,5168,18:02:53:857000
24.603176,5468,18:02:54:157000
24.603176,5768,18:02:54:457000
24.599497,6068,18:02:54:757000
24.595816,6368,18:02:55:057000
24.592136,6668,18:02:55:357000
24.584778,6968,18:02:55:657000
24.599497,7268,18:02:55:957000
24.592136,7568,18:02:56:257000
24.588457,7868,18:02:56:557000
24.592136,8168,18:02:56:857000
24.57742,8468,18:02:57:157000
24.57742,8768,18:02:57:457000
24.592136,9068,18:02:57:757000
24.599497,9368,18:02:58:057000
24.592136,9668,18:02:58:357000
24.595644,9968,18:02:58:657000
24.599497,10268,18:02:58:957000
24.599497,10568,18:02:59:257000
24.610535,10868,18:02:59:557000
24.595816,11168,18:02:59:857000
24.599497,11468,18:03:00:157000
24.603176,11768,18:03:00:457000
24.595816,12068,18:03:00:757000
24.591965,12368,18:03:01:057000
24.584778,12668,18:03:01:357000
24.592136,12968,18:03:01:657000
24.595816,13268,18:03:01:957000
24.595816,13568,18:03:02:257000
24.588285,13868,18:03:02:557000
24.577248,14168,18:03:02:857000
24.588457,14468,18:03:03:157000
24.588285,14768,18:03:03:457000
24.577248,15068,18:03:03:757000
24.584606,15368,18:03:04:057000
24.584778,15668,18:03:04:357000
24.581099,15968,18:03:04:657000
24.580927,16268,18:03:04:957000
24.592136,16568,18:03:05:257000
24.584778,16868,18:03:05:557000
24.57742,17168,18:03:05:857000
24.580927,17468,18:03:06:157000
24.57742,17768,18:03:06:457000
24.581099,18068,18:03:06:757000
24.584606,18368,18:03:07:057000
24.588285,18668,18:03:07:357000
24.588457,18968,18:03:07:657000
24.581099,19268,18:03:07:957000
24.588285,19568,18:03:08:257000
24.588457,19868,18:03:08:557000
24.588285,20168,18:03:08:857000
24.584606,20468,18:03:09:157000
24.595644,20768,18:03:09:457000
24.584606,21068,18:03:09:757000
24.588285,21368,18:03:10:057000
24.584606,21668,18:03:10:357000
24.595816,21968,18:03:10:657000
24.581099,22268,18:03:10:957000
24.584778,22568,18:03:11:257000
24.581099,22868,18:03:11:557000
24.57742,23168,18:03:11:857000
24.581099,23468,18:03:12:157000
24.581099,23768,18:03:12:457000
24.573742,24068,18:03:12:757000
24.57742,24368,18:03:13:057000
24.581099,24668,18:03:13:357000
24.581099,24968,18:03:13:657000
24.577248,25268,18:03:13:957000
24.584778,25568,18:03:14:257000
24.580927,25868,18:03:14:557000
24.580927,26168,18:03:14:857000
24.577248,26468,18:03:15:157000
24.584778,26768,18:03:15:457000
24.584606,27068,18:03:15:757000
24.592136,27368,18:03:16:057000
24.592136,27668,18:03:16:357000
24.592136,27968,18:03:16:657000
24.603176,28268,18:03:16:957000
24.599497,28568,18:03:17:257000
24.595816,28868,18:03:17:557000
24.603176,29168,18:03:17:857000
24.599497,29468,18:03:18:157000
24.603176,29768,18:03:18:457000
24.60331,30068,18:03:18:757000
24.599497,30368,18:03:19:057000
24.599497,30668,18:03:19:357000
24.599497,30968,18:03:19:657000
24.599497,31268,18:03:19:957000
24.595816,31568,18:03:20:257000
24.60331,31868,18:03:20:557000
24.599497,32168,18:03:20:857000
24.610668,32468,18:03:21:157000
24.60331,32768,18:03:21:457000
24.60331,33068,18:03:21:757000
24.599628,33368,18:03:22:057000
24.595951,33668,18:03:22:357000
24.595951,33968,18:03:22:657000
24.595951,34268,18:03:22:957000
24.60331,34568,18:03:23:257000
24.595951,34868,18:03:23:557000
24.595951,35168,18:03:23:857000
24.592422,35468,18:03:24:157000
24.596104,35768,18:03:24:457000
24.592422,36068,18:03:24:757000
24.599781,36368,18:03:25:057000
24.588593,36668,18:03:25:357000
24.588743,36968,18:03:25:657000
24.588743,37268,18:03:25:957000
24.596104,37568,18:03:26:257000
24.596104,37868,18:03:26:557000
24.596104,38168,18:03:26:857000
24.60346,38468,18:03:27:157000
24.592422,38768,18:03:27:457000
24.599781,39068,18:03:27:757000
24.599781,39368,18:03:28:057000
24.592577,39668,18:03:28:357000
24.588898,39968,18:03:28:657000
24.588898,40268,18:03:28:957000
24.596256,40568,18:03:29:257000
24.585218,40868,18:03:29:557000
24.588898,41168,18:03:29:857000
24.588898,41468,18:03:30:157000
24.588898,41768,18:03:30:457000
24.592577,42068,18:03:30:757000
24.603615,42368,18:03:31:057000
24.603615,42668,18:03:31:357000
24.592577,42968,18:03:31:657000
24.592768,43268,18:03:31:957000
24.592577,43568,18:03:32:257000
24.589087,43868,18:03:32:557000
24.592577,44168,18:03:32:857000
24.592768,44468,18:03:33:157000
24.58541,44768,18:03:33:457000
24.581728,45068,18:03:33:757000
24.592768,45368,18:03:34:057000
24.581728,45668,18:03:34:357000
24.58556,45968,18:03:34:657000
24.58924,46268,18:03:34:957000
24.58556,46568,18:03:35:257000
24.58556,46868,18:03:35:557000
24.58188,47168,18:03:35:857000
24.592918,47468,18:03:36:157000
24.592918,47768,18:03:36:457000
24.58556,48068,18:03:36:757000
24.58556,48368,18:03:37:057000
24.592918,48668,18:03:37:357000
24.5966,48968,18:03:37:657000
24.589392,49268,18:03:37:957000
24.593071,49568,18:03:38:257000
0.0,0,18:02:48:689
