,temp_buffers,times_ms_buffers,Time Stamps
0,24.489262,0,18:02:48:689000
1,24.489262,300,18:02:48:989000
2,24.489262,600,18:02:49:289000
3,24.489262,900,18:02:49:589000
4,24.489262,1200,18:02:49:889000
5,24.489262,1500,18:02:50:189000
6,24.489262,1800,18:02:50:489000
7,24.489262,2100,18:02:50:789000
8,24.489262,2400,18:02:51:089000
9,24.489262,2700,18:02:51:389000
10,24.489262,3000,18:02:51:689000
11,24.489262,3300,18:02:51:989000
12,24.489262,3600,18:02:52:289000
13,24.489262,3900,18:02:52:589000
14,24.489262,4200,18:02:52:889000
15,24.489103,4500,18:02:53:189000
16,24.489103,4800,18:02:53:489000
17,24.489103,5100,18:02:53:789000
18,24.489103,5400,18:02:54:089000
19,24.489103,5700,18:02:54:389000
20,24.489103,6000,18:02:54:689000
21,24.489103,6300,18:02:54:989000
22,24.489103,6600,18:02:55:289000
23,24.489103,6900,18:02:55:589000
24,24.489103,7200,18:02:55:889000
25,24.489103,7500,18:02:56:189000
26,24.489103,7800,18:02:56:489000
27,24.489103,8100,18:02:56:789000
28,24.489103,8400,18:02:57:089000
29,24.489103,8700,18:02:57:389000
30,24.489103,9000,18:02:57:689000
31,24.489103,9300,18:02:57:989000
32,24.489103,9600,18:02:58:289000
33,24.488947,9900,18:02:58:589000
34,24.489103,10200,18:02:58:889000
35,24.489103,10500,18:02:59:189000
36,24.489103,10800,18:02:59:489000
37,24.489103,11100,18:02:59:789000
38,24.489103,11400,18:03:00:089000
39,24.489103,11700,18:03:00:389000
40,24.489103,12000,18:03:00:689000
41,24.488947,12300,18:03:00:989000
42,24.489103,12600,18:03:01:289000
43,24.489103,12900,18:03:01:589000
44,24.489103,13200,18:03:01:889000
45,24.489103,13500,18:03:02:189000
46,24.488947,13800,18:03:02:489000
47,24.488947,14100,18:03:02:789000
48,24.489103,14400,18:03:03:089000
49,24.488947,14700,18:03:03:389000
50,24.488947,15000,18:03:03:689000
51,24.488947,15300,18:03:03:989000
52,24.489103,15600,18:03:04:289000
53,24.489103,15900,18:03:04:589000
54,24.488947,16200,18:03:04:889000
55,24.489103,16500,18:03:05:189000
56,24.489103,16800,18:03:05:489000
57,24.489103,17100,18:03:05:789000
58,24.488947,17400,18:03:06:089000
59,24.489103,17700,18:03:06:389000
60,24.489103,18000,18:03:06:689000
61,24.488947,18300,18:03:06:989000
62,24.488947,18600,18:03:07:289000
63,24.489103,18900,18:03:07:589000
64,24.489103,19200,18:03:07:889000
65,24.488947,19500,18:03:08:189000
66,24.489103,19800,18:03:08:489000
67,24.488947,20100,18:03:08:789000
68,24.488947,20400,18:03:09:089000
69,24.488947,20700,18:03:09:389000
70,24.488947,21000,18:03:09:689000
