,temp_buffers,times_ms_buffers,Time Stamps
0,24.143476,68,18:02:48:757000
1,24.147308,368,18:02:49:057000
2,24.154514,668,18:02:49:357000
3,24.150835,968,18:02:49:657000
4,24.158,1268,18:02:49:957000
5,24.154514,1568,18:02:50:257000
6,24.161873,1868,18:02:50:557000
7,24.158192,2168,18:02:50:857000
8,24.16555,2468,18:02:51:157000
9,24.161873,2768,18:02:51:457000
10,24.169231,3068,18:02:51:757000
11,24.169231,3368,18:02:52:057000
12,24.169231,3668,18:02:52:357000
13,24.16904,3968,18:02:52:657000
14,24.16904,4268,18:02:52:957000
15,24.16904,4568,18:02:53:257000
16,24.16555,4868,18:02:53:557000
17,24.16904,5168,18:02:53:857000
18,24.161682,5468,18:02:54:157000
19,24.161682,5768,18:02:54:457000
20,24.161682,6068,18:02:54:757000
21,24.16536,6368,18:02:55:057000
22,24.161682,6668,18:02:55:357000
23,24.158,6968,18:02:55:657000
24,24.158,7268,18:02:55:957000
25,24.16536,7568,18:02:56:257000
26,24.16536,7868,18:02:56:557000
27,24.16536,8168,18:02:56:857000
28,24.176397,8468,18:02:57:157000
29,24.16536,8768,18:02:57:457000
30,24.16536,9068,18:02:57:757000
31,24.161682,9368,18:02:58:057000
32,24.16536,9668,18:02:58:357000
33,24.168888,9968,18:02:58:657000
34,24.16904,10268,18:02:58:957000
35,24.165209,10568,18:02:59:257000
36,24.16904,10868,18:02:59:557000
37,24.172718,11168,18:02:59:857000
38,24.176397,11468,18:03:00:157000
39,24.176397,11768,18:03:00:457000
40,24.172718,12068,18:03:00:757000
41,24.179926,12368,18:03:01:057000
42,24.176397,12668,18:03:01:357000
43,24.172567,12968,18:03:01:657000
44,24.176247,13268,18:03:01:957000
45,24.168888,13568,18:03:02:257000
46,24.180079,13868,18:03:02:557000
47,24.183756,14168,18:03:02:857000
48,24.172718,14468,18:03:03:157000
49,24.176397,14768,18:03:03:457000
50,24.183756,15068,18:03:03:757000
51,24.187437,15368,18:03:04:057000
52,24.183605,15668,18:03:04:357000
53,24.183756,15968,18:03:04:657000
54,24.187284,16268,18:03:04:957000
55,24.183756,16568,18:03:05:257000
56,24.187284,16868,18:03:05:557000
57,24.187284,17168,18:03:05:857000
58,24.180079,17468,18:03:06:157000
59,24.183605,17768,18:03:06:457000
60,24.187284,18068,18:03:06:757000
61,24.176397,18368,18:03:07:057000
62,24.179926,18668,18:03:07:357000
63,24.183605,18968,18:03:07:657000
64,24.183756,19268,18:03:07:957000
65,24.187284,19568,18:03:08:257000
66,24.179926,19868,18:03:08:557000
67,24.183605,20168,18:03:08:857000
