temp_buffers,times_ms_buffers,Time
25.090652,544,14:38:12:485000
25.282145,1444,14:38:13:385000
25.322618,2344,14:38:14:285000
0.0,0,14:38:11:941000
25.300713,3244,14:38:15:185000
25.348545,4144,14:38:16:085000
25.241844,5044,14:38:16:985000
0.0,0,14:38:11:941000
25.27879,5944,14:38:17:885000
25.168411,6844,14:38:18:785000
25.03979,7744,14:38:19:685000
25.157661,8644,14:38:20:585000
25.117054,9544,14:38:21:485000
25.142944,10444,14:38:22:385000
25.143116,11344,14:38:23:285000
0.0,0,14:38:11:941000
25.143116,12244,14:38:24:185000
25.150475,13144,14:38:25:085000
25.213175,14044,14:38:25:985000
0.0,0,14:38:11:941000
25.172703,14944,14:38:26:885000
25.360518,15844,14:38:27:785000
25.30165,16744,14:38:28:685000
25.183912,17644,14:38:29:585000
25.025871,18544,14:38:30:485000
25.217194,19444,14:38:31:385000
25.250309,20344,14:38:32:285000
0.0,0,14:38:11:941000
25.276218,21244,14:38:33:185000
25.261501,22144,14:38:34:085000
25.320368,23044,14:38:34:985000
0.0,0,14:38:11:941000
25.41603,23944,14:38:35:885000
25.394089,24844,14:38:36:785000
25.533905,25744,14:38:37:685000
25.44207,26644,14:38:38:585000
25.390562,27544,14:38:39:485000
25.23971,28444,14:38:40:385000
25.280182,29344,14:38:41:285000
0.0,0,14:38:11:941000
25.214108,30244,14:38:42:185000
25.339203,31144,14:38:43:085000
25.240034,32044,14:38:43:985000
0.0,0,14:38:11:941000
25.335695,32944,14:38:44:885000
25.188677,33844,14:38:45:785000
25.332016,34744,14:38:46:685000
25.23283,35644,14:38:47:585000
25.288017,36544,14:38:48:485000
25.420626,37444,14:38:49:385000
25.23298,38344,14:38:50:285000
0.0,0,14:38:11:941000
25.174112,39244,14:38:51:185000
25.177965,40144,14:38:52:085000
25.16325,41044,14:38:52:985000
0.0,0,14:38:11:941000
25.25891,41944,14:38:53:885000
25.36561,42844,14:38:54:785000
25.284815,43744,14:38:55:685000
25.170757,44644,14:38:56:585000
25.078773,45544,14:38:57:485000
25.22242,46444,14:38:58:385000
25.020058,47344,14:38:59:285000
0.0,0,14:38:11:941000
25.126892,48244,14:39:00:185000
25.174723,49144,14:39:01:085000
0.0,0,14:38:11:941000
