temp_buffers,times_ms_buffers,Time
24.891983,0,14:38:11:941000
24.892141,900,14:38:12:841000
24.892141,1800,14:38:13:741000
0.0,0,14:38:11:941000
24.8923,2700,14:38:14:641000
24.8923,3600,14:38:15:541000
24.8923,4500,14:38:16:441000
0.0,0,14:38:11:941000
24.892456,5400,14:38:17:341000
24.892456,6300,14:38:18:241000
24.892612,7200,14:38:19:141000
24.892767,8100,14:38:20:041000
24.892612,9000,14:38:20:941000
24.892767,9900,14:38:21:841000
24.892923,10800,14:38:22:741000
0.0,0,14:38:11:941000
24.892923,11700,14:38:23:641000
24.892923,12600,14:38:24:541000
24.89308,13500,14:38:25:441000
0.0,0,14:38:11:941000
24.89308,14400,14:38:26:341000
24.89324,15300,14:38:27:241000
24.89324,16200,14:38:28:141000
24.89324,17100,14:38:29:041000
24.893396,18000,14:38:29:941000
24.893396,18900,14:38:30:841000
24.893396,19800,14:38:31:741000
0.0,0,14:38:11:941000
24.893553,20700,14:38:32:641000
24.893553,21600,14:38:33:541000
24.893553,22500,14:38:34:441000
0.0,0,14:38:11:941000
24.893553,23400,14:38:35:341000
24.89371,24300,14:38:36:241000
24.89371,25200,14:38:37:141000
24.893866,26100,14:38:38:041000
24.893866,27000,14:38:38:941000
24.893866,27900,14:38:39:841000
24.893866,28800,14:38:40:741000
0.0,0,14:38:11:941000
24.894022,29700,14:38:41:641000
24.894022,30600,14:38:42:541000
24.89418,31500,14:38:43:441000
0.0,0,14:38:11:941000
24.89418,32400,14:38:44:341000
24.894337,33300,14:38:45:241000
24.89418,34200,14:38:46:141000
24.894337,35100,14:38:47:041000
24.894337,36000,14:38:47:941000
24.894493,36900,14:38:48:841000
24.894493,37800,14:38:49:741000
0.0,0,14:38:11:941000
24.894493,38700,14:38:50:641000
24.894651,39600,14:38:51:541000
24.894651,40500,14:38:52:441000
0.0,0,14:38:11:941000
24.894651,41400,14:38:53:341000
24.894651,42300,14:38:54:241000
24.894808,43200,14:38:55:141000
24.894808,44100,14:38:56:041000
24.894808,45000,14:38:56:941000
24.894962,45900,14:38:57:841000
24.894962,46800,14:38:58:741000
0.0,0,14:38:11:941000
24.89512,47700,14:38:59:641000
24.89512,48600,14:39:00:541000
0.0,0,14:38:11:941000
